
C:\Users\core\Documents\research\fileless\metasploit>C:\bin\nmap\nmap.exe localhost -sS 
Starting Nmap 7.80 ( https://nmap.org ) at 2021-04-21 22:18 Eastern Daylight Time
Skipping SYN Stealth Scan against localhost (127.0.0.1) because Windows does not support scanning your own machine (localhost) this way.
Nmap scan report for localhost (127.0.0.1)
Host is up.
Other addresses for localhost (not scanned): ::1
rDNS record for 127.0.0.1: kubernetes.docker.internal

PORT      STATE   SERVICE
1/tcp     unknown tcpmux
1075/tcp  unknown rdrmshc
1076/tcp  unknown sns_credit
1077/tcp  unknown imgames
1078/tcp  unknown avocent-proxy
1079/tcp  unknown asprovatalk
1080/tcp  unknown socks
1081/tcp  unknown pvuniwien
1082/tcp  unknown amt-esd-prot
1083/tcp  unknown ansoft-lm-1
1084/tcp  unknown ansoft-lm-2
1085/tcp  unknown webobjects
1086/tcp  unknown cplscrambler-lg
1087/tcp  unknown cplscrambler-in
1088/tcp  unknown cplscrambler-al
1089/tcp  unknown ff-annunc
1090/tcp  unknown ff-fms
1091/tcp  unknown ff-sm
1092/tcp  unknown obrpd
1093/tcp  unknown proofd
1094/tcp  unknown rootd
1095/tcp  unknown nicelink
1096/tcp  unknown cnrprotocol
1097/tcp  unknown sunclustermgr
1098/tcp  unknown rmiactivation
1099/tcp  unknown rmiregistry
1100/tcp  unknown mctp
1102/tcp  unknown adobeserver-1
1104/tcp  unknown xrl
1105/tcp  unknown ftranhc
1106/tcp  unknown isoipsigport-1
1107/tcp  unknown isoipsigport-2
1108/tcp  unknown ratio-adp
1110/tcp  unknown nfsd-status
1111/tcp  unknown lmsocialserver
1112/tcp  unknown msql
1113/tcp  unknown ltp-deepspace
1114/tcp  unknown mini-sql
1117/tcp  unknown ardus-mtrns
1119/tcp  unknown bnetgame
1121/tcp  unknown rmpp
1122/tcp  unknown availant-mgr
1123/tcp  unknown murray
1124/tcp  unknown hpvmmcontrol
1126/tcp  unknown hpvmmdata
1130/tcp  unknown casp
1131/tcp  unknown caspssl
1132/tcp  unknown kvm-via-ip
1137/tcp  unknown trim
1138/tcp  unknown encrypted_admin
1141/tcp  unknown mxomss
1145/tcp  unknown x9-icue
1147/tcp  unknown capioverlan
1148/tcp  unknown elfiq-repl
1149/tcp  unknown bvtsonar
1151/tcp  unknown unizensus
1152/tcp  unknown winpoplanmess
1154/tcp  unknown resacommunity
1163/tcp  unknown sddp
1164/tcp  unknown qsm-proxy
1165/tcp  unknown qsm-gui
1166/tcp  unknown qsm-remote
1169/tcp  unknown tripwire
1174/tcp  unknown fnet-remote-ui
1175/tcp  unknown dossier
1183/tcp  unknown llsurfup-http
1185/tcp  unknown catchpole
1186/tcp  unknown mysql-cluster
1187/tcp  unknown alias
1192/tcp  unknown caids-sensor
1198/tcp  unknown cajo-discovery
1199/tcp  unknown dmidi
1201/tcp  unknown nucleus-sand
1213/tcp  unknown mpc-lifenet
1216/tcp  unknown etebac5
1217/tcp  unknown hpss-ndapi
1218/tcp  unknown aeroflight-ads
1233/tcp  unknown univ-appserver
1234/tcp  unknown hotline
1236/tcp  unknown bvcontrol
1244/tcp  unknown isbconference1
1247/tcp  unknown visionpyramid
1248/tcp  unknown hermes
1259/tcp  unknown opennl-voice
1271/tcp  unknown excw
1272/tcp  unknown cspmlockmgr
1277/tcp  unknown miva-mqs
1287/tcp  unknown routematch
1296/tcp  unknown dproxy
1300/tcp  unknown h323hostcallsc
1301/tcp  unknown ci3-software-1
1309/tcp  unknown jtag-server
1310/tcp  unknown husky
1311/tcp  unknown rxmon
1322/tcp  unknown novation
1328/tcp  unknown ewall
1334/tcp  unknown writesrv
1352/tcp  unknown lotusnotes
1417/tcp  unknown timbuktu-srv1
1433/tcp  unknown ms-sql-s
1434/tcp  unknown ms-sql-m
1443/tcp  unknown ies-lm
1455/tcp  unknown esl-lm
1461/tcp  unknown ibm_wrless_lan
1494/tcp  unknown citrix-ica
1500/tcp  unknown vlsi-lm
1501/tcp  unknown sas-3
1503/tcp  unknown imtc-mcs
1521/tcp  unknown oracle
1524/tcp  unknown ingreslock
1533/tcp  unknown virtual-places
1556/tcp  unknown veritas_pbx
1580/tcp  unknown tn-tl-r1
1583/tcp  unknown simbaexpress
1594/tcp  unknown sixtrak
1600/tcp  unknown issd
1641/tcp  unknown invision
1658/tcp  unknown sixnetudr
1666/tcp  unknown netview-aix-6
1687/tcp  unknown nsjtp-ctrl
1688/tcp  unknown nsjtp-data
1700/tcp  unknown mps-raft
1717/tcp  unknown fj-hdnet
1718/tcp  unknown h323gatedisc
1719/tcp  unknown h323gatestat
1720/tcp  unknown h323q931
1721/tcp  unknown caicci
1723/tcp  unknown pptp
1755/tcp  unknown wms
1761/tcp  unknown landesk-rc
1782/tcp  unknown hp-hcip
1783/tcp  unknown unknown
1801/tcp  unknown msmq
1805/tcp  unknown enl-name
1812/tcp  unknown radius
1839/tcp  unknown netopia-vo1
1840/tcp  unknown netopia-vo2
1862/tcp  unknown mysql-cm-agent
1863/tcp  unknown msnp
1864/tcp  unknown paradym-31
1875/tcp  unknown westell-stats
1900/tcp  unknown upnp
1914/tcp  unknown elm-momentum
1935/tcp  unknown rtmp
1947/tcp  unknown sentinelsrm
1971/tcp  unknown netop-school
1972/tcp  unknown intersys-cache
1974/tcp  unknown drp
1984/tcp  unknown bigbrother
1998/tcp  unknown x25-svc-port
1999/tcp  unknown tcp-id-port
2000/tcp  unknown cisco-sccp
2001/tcp  unknown dc
2002/tcp  unknown globe
2003/tcp  unknown finger
2004/tcp  unknown mailbox
2005/tcp  unknown deslogin
2006/tcp  unknown invokator
2007/tcp  unknown dectalk
2008/tcp  unknown conf
2009/tcp  unknown news
2010/tcp  unknown search
2013/tcp  unknown raid-am
2020/tcp  unknown xinupageserver
2021/tcp  unknown servexec
2022/tcp  unknown down
2030/tcp  unknown device2
2033/tcp  unknown glogger
2034/tcp  unknown scoremgr
2035/tcp  unknown imsldoc
2038/tcp  unknown objectmanager
2040/tcp  unknown lam
2041/tcp  unknown interbase
2042/tcp  unknown isis
2043/tcp  unknown isis-bcast
2045/tcp  unknown cdfunc
2046/tcp  unknown sdfunc
2047/tcp  unknown dls
2048/tcp  unknown dls-monitor
2049/tcp  unknown nfs
2065/tcp  unknown dlsrpn
2068/tcp  unknown avocentkvm
2099/tcp  unknown h2250-annex-g
2100/tcp  unknown amiganetfs
2103/tcp  unknown zephyr-clt
2105/tcp  unknown eklogin
2106/tcp  unknown ekshell
2107/tcp  unknown msmq-mgmt
2111/tcp  unknown kx
2119/tcp  unknown gsigatekeeper
2121/tcp  unknown ccproxy-ftp
2126/tcp  unknown pktcable-cops
2135/tcp  unknown gris
2144/tcp  unknown lv-ffx
2160/tcp  unknown apc-2160
2161/tcp  unknown apc-agent
2170/tcp  unknown eyetv
2179/tcp  unknown vmrdp
2190/tcp  unknown tivoconnect
2191/tcp  unknown tvbus
2196/tcp  unknown unknown
2200/tcp  unknown ici
2222/tcp  unknown EtherNetIP-1
2251/tcp  unknown dif-port
2260/tcp  unknown apc-2260
2288/tcp  unknown netml
2301/tcp  unknown compaqdiag
2323/tcp  unknown 3d-nfsd
2366/tcp  unknown qip-login
2381/tcp  unknown compaq-https
2382/tcp  unknown ms-olap3
2383/tcp  unknown ms-olap4
2393/tcp  unknown ms-olap1
2394/tcp  unknown ms-olap2
2399/tcp  unknown fmpro-fdal
2401/tcp  unknown cvspserver
2492/tcp  unknown groove
2500/tcp  unknown rtsserv
2522/tcp  unknown windb
2525/tcp  unknown ms-v-worlds
2557/tcp  unknown nicetec-mgmt
2601/tcp  unknown zebra
2602/tcp  unknown ripd
2604/tcp  unknown ospfd
2605/tcp  unknown bgpd
2607/tcp  unknown connection
2608/tcp  unknown wag-service
2638/tcp  unknown sybase
2701/tcp  unknown sms-rcinfo
2702/tcp  unknown sms-xfer
2710/tcp  unknown sso-service
2717/tcp  unknown pn-requester
2718/tcp  unknown pn-requester2
2725/tcp  unknown msolap-ptp2
2800/tcp  unknown acc-raid
2809/tcp  unknown corbaloc
2811/tcp  unknown gsiftp
2869/tcp  unknown icslap
2875/tcp  unknown dxmessagebase2
2909/tcp  unknown funk-dialout
2910/tcp  unknown tdaccess
2920/tcp  unknown roboeda
2967/tcp  unknown symantec-av
2968/tcp  unknown enpp
2998/tcp  unknown iss-realsec
3000/tcp  unknown ppp
3001/tcp  unknown nessus
3003/tcp  unknown cgms
3005/tcp  unknown deslogin
3006/tcp  unknown deslogind
3007/tcp  unknown lotusmtap
3011/tcp  unknown trusted-web
3013/tcp  unknown gilatskysurfer
3017/tcp  unknown event_listener
3030/tcp  unknown arepa-cas
3031/tcp  unknown eppc
3052/tcp  unknown powerchute
3071/tcp  unknown csd-mgmt-port
3077/tcp  unknown orbix-loc-ssl
3128/tcp  unknown squid-http
3168/tcp  unknown poweronnud
3211/tcp  unknown avsecuremgmt
3221/tcp  unknown xnm-clear-text
3260/tcp  unknown iscsi
3261/tcp  unknown winshadow
3268/tcp  unknown globalcatLDAP
3269/tcp  unknown globalcatLDAPssl
3283/tcp  unknown netassistant
3300/tcp  unknown ceph
3301/tcp  unknown unknown
3306/tcp  unknown mysql
3322/tcp  unknown active-net
3323/tcp  unknown active-net
3324/tcp  unknown active-net
3325/tcp  unknown active-net
3333/tcp  unknown dec-notes
3351/tcp  unknown btrieve
3367/tcp  unknown satvid-datalnk
3369/tcp  unknown satvid-datalnk
3370/tcp  unknown satvid-datalnk
3371/tcp  unknown satvid-datalnk
3372/tcp  unknown msdtc
3389/tcp  unknown ms-wbt-server
3390/tcp  unknown dsc
3404/tcp  unknown unknown
3476/tcp  unknown nppmp
3493/tcp  unknown nut
3517/tcp  unknown 802-11-iapp
3527/tcp  unknown beserver-msg-q
3546/tcp  unknown unknown
3551/tcp  unknown apcupsd
3580/tcp  unknown nati-svrloc
3659/tcp  unknown apple-sasl
3689/tcp  unknown rendezvous
3690/tcp  unknown svn
3703/tcp  unknown adobeserver-3
3737/tcp  unknown xpanel
3766/tcp  unknown sitewatch-s
3784/tcp  unknown bfd-control
3800/tcp  unknown pwgpsi
3801/tcp  unknown ibm-mgr
3809/tcp  unknown apocd
3814/tcp  unknown neto-dcs
3826/tcp  unknown wormux
3827/tcp  unknown netmpi
3828/tcp  unknown neteh
3851/tcp  unknown spectraport
3869/tcp  unknown ovsam-mgmt
3871/tcp  unknown avocent-adsap
3878/tcp  unknown fotogcad
3880/tcp  unknown igrs
3889/tcp  unknown dandv-tester
3905/tcp  unknown mupdate
3914/tcp  unknown listcrt-port-2
3918/tcp  unknown pktcablemmcops
3920/tcp  unknown exasoftport1
3945/tcp  unknown emcads
3971/tcp  unknown lanrevserver
3986/tcp  unknown mapper-ws_ethd
3995/tcp  unknown iss-mgmt-ssl
3998/tcp  unknown dnx
4000/tcp  unknown remoteanything
4001/tcp  unknown newoak
4002/tcp  unknown mlchat-proxy
4003/tcp  unknown pxc-splr-ft
4004/tcp  unknown pxc-roid
4005/tcp  unknown pxc-pin
4006/tcp  unknown pxc-spvr
4045/tcp  unknown lockd
4111/tcp  unknown xgrid
4125/tcp  unknown rww
4126/tcp  unknown ddrepl
4129/tcp  unknown nuauth
4224/tcp  unknown xtell
4242/tcp  unknown vrml-multi-use
4279/tcp  unknown vrml-multi-use
4321/tcp  unknown rwhois
4343/tcp  unknown unicall
4443/tcp  unknown pharos
4444/tcp  unknown krb524
4445/tcp  unknown upnotifyp
4446/tcp  unknown n1-fwp
4449/tcp  unknown privatewire
4550/tcp  unknown gds-adppiw-db
4567/tcp  unknown tram
4662/tcp  unknown edonkey
4848/tcp  unknown appserv-http
4899/tcp  unknown radmin
4900/tcp  unknown hfcs
4998/tcp  unknown maybe-veritas
5000/tcp  unknown upnp
5001/tcp  unknown commplex-link
5002/tcp  unknown rfe
5003/tcp  unknown filemaker
5004/tcp  unknown avt-profile-1
5009/tcp  unknown airport-admin
5030/tcp  unknown surfpass
5033/tcp  unknown jtnetd-server
5050/tcp  unknown mmcc
5051/tcp  unknown ida-agent
5054/tcp  unknown rlm-admin
5060/tcp  unknown sip
5061/tcp  unknown sip-tls
5080/tcp  unknown onscreen
5087/tcp  unknown biotic
5100/tcp  unknown admd
5101/tcp  unknown admdog
5102/tcp  unknown admeng
5120/tcp  unknown barracuda-bbs
5190/tcp  unknown aol
5200/tcp  unknown targus-getdata
5214/tcp  unknown unknown
5221/tcp  unknown 3exmp
5222/tcp  unknown xmpp-client
5225/tcp  unknown hp-server
5226/tcp  unknown hp-status
5269/tcp  unknown xmpp-server
5280/tcp  unknown xmpp-bosh
5298/tcp  unknown presence
5357/tcp  unknown wsdapi
5405/tcp  unknown pcduo
5414/tcp  unknown statusd
5431/tcp  unknown park-agent
5432/tcp  unknown postgresql
5440/tcp  unknown unknown
5500/tcp  unknown hotline
5510/tcp  unknown secureidprop
5544/tcp  unknown unknown
5550/tcp  unknown sdadmind
5555/tcp  unknown freeciv
5560/tcp  unknown isqlplus
5566/tcp  unknown westec-connect
5631/tcp  unknown pcanywheredata
5633/tcp  unknown beorl
5666/tcp  unknown nrpe
5678/tcp  unknown rrac
5679/tcp  unknown activesync
5718/tcp  unknown dpm
5730/tcp  unknown unieng
5800/tcp  unknown vnc-http
5801/tcp  unknown vnc-http-1
5802/tcp  unknown vnc-http-2
5810/tcp  unknown unknown
5811/tcp  unknown unknown
5815/tcp  unknown unknown
5822/tcp  unknown unknown
5825/tcp  unknown unknown
5850/tcp  unknown unknown
5859/tcp  unknown wherehoo
5862/tcp  unknown unknown
5877/tcp  unknown unknown
5900/tcp  unknown vnc
5901/tcp  unknown vnc-1
5902/tcp  unknown vnc-2
5903/tcp  unknown vnc-3
5904/tcp  unknown unknown
5906/tcp  unknown unknown
5907/tcp  unknown unknown
5910/tcp  unknown cm
5911/tcp  unknown cpdlc
5915/tcp  unknown unknown
5922/tcp  unknown unknown
5925/tcp  unknown unknown
5950/tcp  unknown unknown
5952/tcp  unknown unknown
5959/tcp  unknown unknown
5960/tcp  unknown unknown
5961/tcp  unknown unknown
5962/tcp  unknown unknown
5963/tcp  unknown indy
5987/tcp  unknown wbem-rmi
5988/tcp  unknown wbem-http
5989/tcp  unknown wbem-https
5998/tcp  unknown ncd-diag
5999/tcp  unknown ncd-conf
6000/tcp  unknown X11
6001/tcp  unknown X11:1
6002/tcp  unknown X11:2
6003/tcp  unknown X11:3
6004/tcp  unknown X11:4
6005/tcp  unknown X11:5
6006/tcp  unknown X11:6
6007/tcp  unknown X11:7
6009/tcp  unknown X11:9
6025/tcp  unknown x11
6059/tcp  unknown X11:59
6100/tcp  unknown synchronet-db
6101/tcp  unknown backupexec
6106/tcp  unknown isdninfo
6112/tcp  unknown dtspc
6123/tcp  unknown backup-express
6129/tcp  unknown unknown
6156/tcp  unknown unknown
6346/tcp  unknown gnutella
6389/tcp  unknown clariion-evr01
6502/tcp  unknown netop-rc
6510/tcp  unknown mcer-port
6543/tcp  unknown mythtv
6547/tcp  unknown powerchuteplus
6565/tcp  unknown unknown
6566/tcp  unknown sane-port
6567/tcp  unknown esp
6580/tcp  unknown parsec-master
6646/tcp  unknown unknown
6666/tcp  unknown irc
6667/tcp  unknown irc
6668/tcp  unknown irc
6669/tcp  unknown irc
6689/tcp  unknown tsa
6692/tcp  unknown unknown
6699/tcp  unknown napster
6779/tcp  unknown unknown
6788/tcp  unknown smc-http
6789/tcp  unknown ibm-db2-admin
6792/tcp  unknown unknown
6839/tcp  unknown unknown
6881/tcp  unknown bittorrent-tracker
6901/tcp  unknown jetstream
6969/tcp  unknown acmsoda
7000/tcp  unknown afs3-fileserver
7001/tcp  unknown afs3-callback
7002/tcp  unknown afs3-prserver
7004/tcp  unknown afs3-kaserver
7007/tcp  unknown afs3-bos
7019/tcp  unknown doceri-ctl
7025/tcp  unknown vmsvc-2
7070/tcp  unknown realserver
7100/tcp  unknown font-service
7103/tcp  unknown unknown
7106/tcp  unknown unknown
7200/tcp  unknown fodms
7201/tcp  unknown dlip
7402/tcp  unknown rtps-dd-mt
7435/tcp  unknown unknown
7443/tcp  unknown oracleas-https
7496/tcp  unknown unknown
7512/tcp  unknown unknown
7625/tcp  unknown unknown
7627/tcp  unknown soap-http
7676/tcp  unknown imqbrokerd
7741/tcp  unknown scriptview
7777/tcp  unknown cbt
7778/tcp  unknown interwise
7800/tcp  unknown asr
7911/tcp  unknown unknown
7920/tcp  unknown unknown
7921/tcp  unknown unknown
7937/tcp  unknown nsrexecd
7938/tcp  unknown lgtomapper
7999/tcp  unknown irdmi2
8000/tcp  unknown http-alt
8001/tcp  unknown vcom-tunnel
8002/tcp  unknown teradataordbms
8007/tcp  unknown ajp12
8008/tcp  unknown http
8009/tcp  unknown ajp13
8010/tcp  unknown xmpp
8011/tcp  unknown unknown
8021/tcp  unknown ftp-proxy
8022/tcp  unknown oa-system
8031/tcp  unknown unknown
8042/tcp  unknown fs-agent
8045/tcp  unknown unknown
8080/tcp  unknown http-proxy
8081/tcp  unknown blackice-icecap
8082/tcp  unknown blackice-alerts
