
C:\Users\core\Documents\research\fileless\metasploit>C:\bin\nmap\nmap.exe localhost -sS 
Starting Nmap 7.80 ( https://nmap.org ) at 2021-04-21 22:18 Eastern Daylight Time
Skipping SYN Stealth Scan against localhost (127.0.0.1) because Windows does not support scanning your own machine (localhost) this way.
Nmap scan report for localhost (127.0.0.1)
Host is up.
Other addresses for localhost (not scanned): ::1
rDNS record for 127.0.0.1: kubernetes.docker.internal

PORT      STATE   SERVICE
1/tcp     unknown tcpmux
15002/tcp unknown onep-tls
15003/tcp unknown unknown
15004/tcp unknown unknown
15660/tcp unknown bex-xr
15742/tcp unknown unknown
16000/tcp unknown fmsas
16001/tcp unknown fmsascon
16012/tcp unknown unknown
16016/tcp unknown unknown
16018/tcp unknown unknown
16080/tcp unknown osxwebadmin
16113/tcp unknown unknown
16992/tcp unknown amt-soap-http
16993/tcp unknown amt-soap-https
17877/tcp unknown unknown
17988/tcp unknown unknown
18040/tcp unknown unknown
18101/tcp unknown unknown
18988/tcp unknown unknown
19101/tcp unknown unknown
19283/tcp unknown keysrvr
19315/tcp unknown keyshadow
19350/tcp unknown unknown
19780/tcp unknown unknown
19801/tcp unknown unknown
19842/tcp unknown unknown
20000/tcp unknown dnp
20005/tcp unknown btx
20031/tcp unknown unknown
20221/tcp unknown unknown
20222/tcp unknown ipulse-ics
20828/tcp unknown unknown
21571/tcp unknown unknown
22939/tcp unknown unknown
23502/tcp unknown unknown
24444/tcp unknown unknown
24800/tcp unknown unknown
25734/tcp unknown unknown
25735/tcp unknown unknown
26214/tcp unknown unknown
27000/tcp unknown flexlm0
27352/tcp unknown unknown
27353/tcp unknown unknown
27355/tcp unknown unknown
27356/tcp unknown unknown
27715/tcp unknown unknown
28201/tcp unknown unknown
30000/tcp unknown ndmps
30718/tcp unknown unknown
30951/tcp unknown unknown
31038/tcp unknown unknown
31337/tcp unknown Elite
32768/tcp unknown filenet-tms
32769/tcp unknown filenet-rpc
32770/tcp unknown sometimes-rpc3
32771/tcp unknown sometimes-rpc5
32772/tcp unknown sometimes-rpc7
32773/tcp unknown sometimes-rpc9
32774/tcp unknown sometimes-rpc11
32775/tcp unknown sometimes-rpc13
32776/tcp unknown sometimes-rpc15
32777/tcp unknown sometimes-rpc17
32778/tcp unknown sometimes-rpc19
32779/tcp unknown sometimes-rpc21
32780/tcp unknown sometimes-rpc23
32781/tcp unknown unknown
32782/tcp unknown unknown
32783/tcp unknown unknown
32784/tcp unknown unknown
32785/tcp unknown unknown
33354/tcp unknown unknown
33899/tcp unknown unknown
34571/tcp unknown unknown
34572/tcp unknown unknown
34573/tcp unknown unknown
35500/tcp unknown unknown
38292/tcp unknown landesk-cba
40193/tcp unknown unknown
40911/tcp unknown unknown
41511/tcp unknown unknown
42510/tcp unknown caerpc
44176/tcp unknown unknown
44442/tcp unknown coldfusion-auth
44443/tcp unknown coldfusion-auth
44501/tcp unknown unknown
45100/tcp unknown unknown
48080/tcp unknown unknown
49152/tcp unknown unknown
49153/tcp unknown unknown
49154/tcp unknown unknown
49155/tcp unknown unknown
49156/tcp unknown unknown
49157/tcp unknown unknown
49158/tcp unknown unknown
49159/tcp unknown unknown
49160/tcp unknown unknown
49161/tcp unknown unknown
49163/tcp unknown unknown
49165/tcp unknown unknown
49167/tcp unknown unknown
49175/tcp unknown unknown
49176/tcp unknown unknown
49400/tcp unknown compaqdiag
49999/tcp unknown unknown
50000/tcp unknown ibm-db2
50001/tcp unknown unknown
50002/tcp unknown iiimsf
50003/tcp unknown unknown
50006/tcp unknown unknown
50300/tcp unknown unknown
50389/tcp unknown unknown
50500/tcp unknown unknown
50636/tcp unknown unknown
50800/tcp unknown unknown
51103/tcp unknown unknown
51493/tcp unknown unknown
52673/tcp unknown unknown
52822/tcp unknown unknown
52848/tcp unknown unknown
52869/tcp unknown unknown
54045/tcp unknown unknown
54328/tcp unknown unknown
55055/tcp unknown unknown
55056/tcp unknown unknown
55555/tcp unknown unknown
55600/tcp unknown unknown
56737/tcp unknown unknown
56738/tcp unknown unknown
57294/tcp unknown unknown
57797/tcp unknown unknown
58080/tcp unknown unknown
60020/tcp unknown unknown
60443/tcp unknown unknown
61532/tcp unknown unknown
61900/tcp unknown unknown
62078/tcp unknown iphone-sync
63331/tcp unknown unknown
64623/tcp unknown unknown
64680/tcp unknown unknown
65000/tcp unknown unknown
65129/tcp unknown unknown
65389/tcp unknown unknown

Nmap done: 1 IP address (1 host up) scanned in 0.33 seconds
